# Psi_N                  T                      rho                    pres                   zj                     R                      Er                     B_theta                currdens               B_tor                  V_ExB                  dprof                  zkprof                 eta_T                  r_minor                
# time step #000000
  9.995277859943385E-04  1.008104578860208E-01  9.989094465009480E-01  1.007005186884374E-01  4.477636537674634E+00  1.705906627788510E+00  0.000000000000000E+00  1.814540834266816E-02  2.624728270515134E+00  2.480453545574188E+00  0.000000000000000E+00  4.849153776798359E-07  3.583293982166195E-07  2.963308454049929E-08  1.728777176696144E-02
  4.335157609034392E-03  1.001844549470404E-01  9.952935540746415E-01  9.971294222738133E-02  4.474021566768021E+00  1.705409678341970E+00  0.000000000000000E+00  3.778621663919752E-02  2.623188152350588E+00  2.481399940200281E+00  0.000000000000000E+00  4.940205352201276E-07  3.861263134086199E-07  2.991126161867264E-08  3.262548022963604E-02
  7.665268920334394E-03  9.955374787836280E-02  9.917165939517806E-01  9.872910376127199E-02  4.469377436360090E+00  1.704914961077875E+00  0.000000000000000E+00  5.022116863712713E-02  2.621042056931705E+00  2.482343400285834E+00  0.000000000000000E+00  5.035827328017876E-07  4.179904552360126E-07  3.019595846608353E-08  4.229143554149194E-02
  1.100048008757721E-02  9.891651391734606E-02  9.881674442924782E-01  9.774607875641383E-02  4.463765028046402E+00  1.704417884658687E+00  0.000000000000000E+00  6.015608352048638E-02  2.618331741663566E+00  2.483291399557354E+00  0.000000000000000E+00  5.136322799172180E-07  4.540218532127924E-07  3.048821775643232E-08  4.999773593987201E-02
  1.433423107228523E-02  9.827432515149442E-02  9.846519733435082E-01  9.676600819004752E-02  4.457233914100549E+00  1.703922255238943E+00  0.000000000000000E+00  6.864970371323167E-02  2.615080479888738E+00  2.484237873634370E+00  0.000000000000000E+00  5.244014279302278E-07  4.963651877493747E-07  3.078755039467508E-08  5.659407123221240E-02
  1.766766892614643E-02  9.762717635675361E-02  9.811699296212597E-01  9.578884975594226E-02  4.449793682230367E+00  1.703425902748479E+00  0.000000000000000E+00  7.617638904781968E-02  2.611296832022469E+00  2.485186129986900E+00  0.000000000000000E+00  5.354795530645599E-07  5.414138224794305E-07  3.109418286100071E-08  6.245859618152809E-02
  2.100152567561991E-02  9.697518492373118E-02  9.777203922380564E-01  9.481461584242268E-02  4.441502997933777E+00  1.702930585816035E+00  0.000000000000000E+00  8.301245250957927E-02  2.607012215581331E+00  2.486133671738469E+00  0.000000000000000E+00  5.470398146910219E-07  5.685900308020559E-07  3.140829174858733E-08  6.779385906103977E-02
  2.433530860086426E-02  9.631867701945458E-02  9.743031845315028E-01  9.384359375163337E-02  4.432391271188283E+00  1.702433126092643E+00  0.000000000000000E+00  8.932617108245242E-02  2.602248323100493E+00  2.487085159555638E+00  0.000000000000000E+00  5.586366173896683E-07  5.922209859717308E-07  3.172995659220557E-08  7.272163243716731E-02
  2.766856930975785E-02  9.565793693442960E-02  9.709185636129890E-01  9.287606672881742E-02  4.422471754383750E+00  1.701936966318017E+00  0.000000000000000E+00  9.519945288887981E-02  2.597007524151093E+00  2.488035426383808E+00  0.000000000000000E+00  5.700847012943634E-07  6.018535538769820E-07  3.205927714003811E-08  7.732328343300549E-02
  3.100180758364516E-02  9.499317339485851E-02  9.675662752760449E-01  9.191219096087798E-02  4.411769903419389E+00  1.701441228676495E+00  0.000000000000000E+00  1.007036391668112E-01  2.591305780141627E+00  2.488985867946894E+00  0.000000000000000E+00  5.816285477381980E-07  6.079067654203704E-07  3.239639210700736E-08  8.165791870573162E-02
  3.433680500855951E-02  9.432429907930703E-02  9.642445239040403E-01  9.095168886177474E-02  4.400311877209229E+00  1.700944162716015E+00  0.000000000000000E+00  1.059044719730366E-01  2.585160705233321E+00  2.489939166538693E+00  0.000000000000000E+00  5.934016444810500E-07  6.056289621791539E-07  3.274159718239573E-08  8.577027160031932E-02
  3.767260527257239E-02  9.365171991450666E-02  9.609540924976422E-01  8.999500352669007E-02  4.388141886548580E+00  1.700448065149611E+00  0.000000000000000E+00  1.108475599683705E-01  2.578594712529486E+00  2.490891920675277E+00  0.000000000000000E+00  6.052511700117192E-07  5.989101223676988E-07  3.309494050726136E-08  8.969136875343046E-02
  4.100293355373516E-02  9.297688808535386E-02  9.577008027781582E-01  8.904404036379414E-02  4.375303952764557E+00  1.699951755864483E+00  0.000000000000000E+00  1.155620402750741E-01  2.571635294870542E+00  2.491845512842811E+00  0.000000000000000E+00  6.171543183433084E-07  5.877940416198910E-07  3.345590109529193E-08  9.343983589572026E-02
  4.433621656099301E-02  9.229825314732952E-02  9.544761485346007E-01  8.809648118724694E-02  4.361799945197919E+00  1.699455576359383E+00  0.000000000000000E+00  1.200827273468164E-01  2.564282588628524E+00  2.492799894939274E+00  0.000000000000000E+00  6.290579037533182E-07  5.722760113541654E-07  3.382556183040041E-08  9.704488892967961E-02
  4.766871637093466E-02  9.161683287799309E-02  9.512837723153689E-01  8.715360639395046E-02  4.347666166755864E+00  1.698957303550932E+00  0.000000000000000E+00  1.244079663939512E-01  2.556560836076713E+00  2.493758134948497E+00  0.000000000000000E+00  6.409543726581749E-07  5.548875827625248E-07  3.420364021129422E-08  1.005190476970437E-01
